GasPrice	ElePrice	VehPrice	mpg	mpg_unknown	mpg_known	range	size	curveh_model_year	curveh_age	curveh_price	curveh_mpg	curveh_mpg_known	curveh_mpg_unknown	curveh_range	curveh_size	Vehicles
4.25	5.25	1.8	0.25	0	0.25	1.1	1	2010	4	1.8	0.25	0.25	0	0	1	5
3.75	4.25	0.3	0.12	0	0.12	0.7	3	1984	30	0.3	0.12	0.12	0	0	3	3
3.75	4	2.6	0.32	0	0.32	0.6	2	2013	1	2.6	0.32	0.32	0	0	2	3
4	4.5	5.5	0.23	0	0.23	0.9	3	2008	6	5.5	0.23	0.23	0	0	3	3
4	4	2	0.23	0	0.23	0.75	2	2011	3	2	0.23	0.23	0	0	2	4
4.25	4.5	1.6669	0.15	0	0.15	0.6	3	2000	14	1.6669	0.15	0.15	0	0	3	3
3	4.5	1.1	0.43	0	0.43	0.85	2	2011	3	1.1	0.43	0.43	0	0	2	2
3.75	4.5	1.1	0.42	0	0.42	1.1	1	2009	5	1.1	0.42	0.42	0	0	1	3
3.75	5.25	2.8	0	0	0	0.9	3	2010	4	2.8	0	0	0	0	3	2
3.5	5.25	0.2	0	0	0	0.6	2	1999	15	0.2	0	0	0	0	2	2
3.5	4.5	2.4	0	0	0	0.75	2	2014	0	2.4	0	0	0	0	2	3
4	4.5	0.5	0	0	0	0.9	2	2011	3	0.5	0	0	0	0	2	2
3	4	2.3	0.26	0	0.26	0.75	2	2011	3	2.3	0.26	0.26	0	0	2	3
3	4.5	0.8	0.14	0	0.14	0.6	3	2003	11	0.8	0.14	0.14	0	0	3	3
3.25	4.5	3	0	0	0	0.6	1	2012	2	3	0	0	0	0	1	3
3.25	4.5	2	0.28	0	0.28	0.7	2	2004	10	2	0.28	0.28	0	0	2	2
4	4.25	0.89	0	0	0	0.85	1	2010	4	0.89	0	0	0	0	1	2
3.75	4.5	0	0	0	0	1.1	2	2006	8	0	0	0	0	0	2	3
3	4	2.6	0	0	0	0.85	3	1994	20	2.6	0	0	0	0	3	3
3	5	3	0.24	0	0.24	0.6	3	2013	1	3	0.24	0.24	0	0	3	3
3.25	4.5	3	0	0	0	0.85	3	2009	5	3	0	0	0	0	3	3
4.25	5.25	0.5	0	0	0	0.6	1	2008	6	0.5	0	0	0	0	1	2
3.5	5	1.45	0.352	0	0.352	1	1	2003	11	1.45	0.352	0.352	0	0	1	2
4.25	4.75	0.6	0	0	0	1.1	1	1999	15	0.6	0	0	0	0	1	4
3.5	4.5	1	0.18	0	0.18	1.1	2	2008	6	1	0.18	0.18	0	0	2	2
4.46	5.16	3	0.26	0	0.26	1.4	1	2017	3	3	0.26	0.26	0	0	1	2
3.75	4.75	0.2	0	0	0	1.1	1	2001	13	0.2	0	0	0	0	1	4
4.25	4	2.5	0.18	0	0.18	1	3	2007	7	2.5	0.18	0.18	0	0	3	3
3.75	4	0	0	0	0	0.6	1	2002	12	0	0	0	0	0	1	2
3.75	4.25	2.5	0.3	0	0.3	1.1	3	2009	5	2.5	0.3	0.3	0	0	3	4
3.25	4.25	2.2	0.26	0	0.26	0.75	2	2008	6	2.2	0.26	0.26	0	0	2	3
3.75	4.5	2.5	0	0	0	0.6	2	2004	10	2.5	0	0	0	0	2	2
3.75	5	0.2	0	0	0	0.75	2	1999	15	0.2	0	0	0	0	2	2
3.75	4.5	1.3	0.25	0	0.25	0.6	2	2008	6	1.3	0.25	0.25	0	0	2	2
4	4	1.45	0	0	0	0.6	3	2000	14	1.45	0	0	0	0	3	3
4	5	1.6	0.38	0	0.38	1.1	1	2001	13	1.6	0.38	0.38	0	0	1	3
3	4.75	1.5	0	0	0	0.6	2	1999	15	1.5	0	0	0	0	2	2
3.5	4.75	3.5	0	0	0	0.6	2	2002	12	3.5	0	0	0	0	2	2
4	4.5	1.2	0.33	0	0.33	0.9	1	2002	12	1.2	0.33	0.33	0	0	1	2
4	4	4.5	0.4	0	0.4	0.9	2	2011	3	4.5	0.4	0.4	0	0	2	3
4	4.5	2.04	0.38	0	0.38	1	2	2012	2	2.04	0.38	0.38	0	0	2	3
4	5.25	2.6	0	0	0	0.75	3	2010	4	2.6	0	0	0	0	3	2
4	5.25	1.5	0.32	0	0.32	0.7	1	2010	4	1.5	0.32	0.32	0	0	1	3
3	4	0.14	0.206	0	0.206	0.75	2	2000	14	0.14	0.206	0.206	0	0	2	3
4	4.25	1.7	0.21	0	0.21	0.85	3	2005	9	1.7	0.21	0.21	0	0	3	3
4.25	5.25	1.5	0.3	0	0.3	0.85	2	2000	14	1.5	0.3	0.3	0	0	2	3
3.5	5	0	0.25	0	0.25	0.7	2	1999	15	0	0.25	0.25	0	0	2	2
3.25	5	1.1	0	0	0	0.6	3	2003	11	1.1	0	0	0	0	3	3
3.25	4.25	3	0.23	0	0.23	1.1	2	2013	1	3	0.23	0.23	0	0	2	3
3.5	5.25	2.1	0.29	0	0.29	1.1	1	2012	2	2.1	0.29	0.29	0	0	1	3
3.5	5.25	0.35	0.26	0	0.26	1	2	2006	8	0.35	0.26	0.26	0	0	2	3
4	4.5	2.5	0	0	0	1.1	3	2004	10	2.5	0	0	0	0	3	2
4.25	4.75	0.9	0	0	0	0.6	2	2007	7	0.9	0	0	0	0	2	5
4	4.75	2	0	0	0	0.6	2	2008	6	2	0	0	0	0	2	3
4	5.25	2	0.21	0	0.21	0.85	2	2001	13	2	0.21	0.21	0	0	2	4
4.25	4	1.3	0	0	0	1	1	2004	10	1.3	0	0	0	0	1	3
3.75	4.75	2.1	0.25	0	0.25	1.1	3	2003	11	2.1	0.25	0.25	0	0	3	2
3.25	4.5	1.7	0.26	0	0.26	1	2	2010	4	1.7	0.26	0.26	0	0	2	4
3.5	4	1.1	0	0	0	0.6	2	2008	6	1.1	0	0	0	0	2	6
3.5	5	1.5	0.35	0	0.35	0.6	1	2005	9	1.5	0.35	0.35	0	0	1	2
4	5.25	0	0	0	0	0.9	2	2001	13	0	0	0	0	0	2	2
4	4.75	2.2	0.32	0	0.32	0.9	2	2007	7	2.2	0.32	0.32	0	0	2	2
3	5	1.8	0.28	0	0.28	0.6	2	2013	1	1.8	0.28	0.28	0	0	2	3
3.75	5.25	2.5	0.24	0	0.24	0.85	2	2008	6	2.5	0.24	0.24	0	0	2	4
3.5	4	1.7	0.4	0	0.4	0.75	2	2007	7	1.7	0.4	0.4	0	0	2	3
3.25	4.25	1.7	0	0	0	0.6	1	2004	10	1.7	0	0	0	0	1	2
3.5	5.25	0.45	0.33	0	0.33	0.7	1	2002	12	0.45	0.33	0.33	0	0	1	2
3.75	4	0.76	0	0	0	0.7	1	2004	10	0.76	0	0	0	0	1	4
3.5	5.25	2.5	0.25	0	0.25	1.1	2	2010	4	2.5	0.25	0.25	0	0	2	2
3.5	4.25	2.45	0.16	0	0.16	0.75	2	2004	10	2.45	0.16	0.16	0	0	2	2
3.75	4	2.8	0.35	0	0.35	0.9	1	2013	1	2.8	0.35	0.35	0	0	1	3
3.75	4	1.7	0	0	0	1.1	2	2005	9	1.7	0	0	0	0	2	4
4	5.25	1.5	0	0	0	0.7	3	2000	14	1.5	0	0	0	0	3	4
3	5.25	0	0	0	0	1.1	2	2013	1	0	0	0	0	0	2	5
4.25	4.25	3.5	0.18	0	0.18	0.85	3	2005	9	3.5	0.18	0.18	0	0	3	2
3	4.5	0.8	0.28	0	0.28	0.6	3	2011	3	0.8	0.28	0.28	0	0	3	3
4.25	4.5	2.4	0.28	0	0.28	0.6	2	2011	3	2.4	0.28	0.28	0	0	2	2
3.75	5	0.4	0	0	0	0.7	2	2004	10	0.4	0	0	0	0	2	3
3.25	4.75	0	0.23	0	0.23	0.7	2	2012	2	0	0.23	0.23	0	0	2	2
4	4	6	0	0	0	0.75	2	2012	2	6	0	0	0	0	2	4
4	4.5	2.4	0.23	0	0.23	0.7	2	2011	3	2.4	0.23	0.23	0	0	2	5
